Data Property,Description,Type
PatentFileWrapperDataBag,Patent File Wrapper data.,N/A
  applicationNumberText,The unique number assigned by the USPTO to a patent application when it is filed.,String
applicationMetaData,MetaData of the application.,N/A
  firstInventorToFileIndicator,The first inventor to file (First Inventor to File- FITF) provision of the America Invents Act (AIA) transitions the U.S. to a first-inventor-to-file system from a first-to-invent system.,String
  nationalStageIndicator,National Stage indicator.,Boolean
  smallEntityStatusIndicator,Small entity status indicator.,Boolean
  docketNumber,An identifier assigned by a non-USPTO interest to an application patent case. The identifier is assigned by the person filing the application (applicant or the legal representative of the applicant) to identify the application internally on customer side. It's optional for the customer.,String
  firstApplicantName,Name of the Applicant with Rank One. Listed as first applicant in the patent application.,String
  firstInventorName,Name of the inventor with Rank One. Listed as first inventor in the patent application.,String
  applicationConfirmationNumber,"A four-digit number that is assigned to each newly filed patent application. The confirmation number, in combination with the application number, is used to verify the accuracy of the application number placed on correspondence /filed with the office to avoid mis identification of an application due to a transposition error (misplaced digits) in the application number. The office recommends that applicants include the application's confirmation number (in addition to the application number) on all correspondence submitted to the office concerning the application.",Number
  applicationStatusDate,Application status date.,Date
  applicationStatusDescriptionText,Status of the application; values: new = new application,String
  filingDate,Date on which a patent application was filed and received in the USPTO.,Date
  effectiveFilingDate,The date according to USPTO criteria that the patent case qualified as having been 'filed'. The effective filing date is the same or later than the Filing Date. The filing date can be changed due to a subsequent action on an application,Date
  grantDate,The date a patent was granted.,Date
  groupArtUnitNumber,"A working unit responsible for a cluster of related patent art. Generally, staffed by one supervisory patent examiner (SPE) and a number of patent examiners who determine patentability on applications for a patent. Group Art Units are currently identified by a four digit number, i.e., 1642.",String
  applicationTypeCode,The specific value that indicates if the received patent application is considered a domestic application at the National Stage or is submitted as a Patent Cooperative Treaty (PCT) application.,String
  applicationTypeLabelName,The label for the application type.,String
  applicationTypeCategory,The category of the application,String
  inventionTitle,Title of invention/application: The clear and concise technical description of the invention as provided by the patent applicant.,String
  patentNumber,"The unique number assigned by the USPTO to a granted/issued patent. It is also the document number in the USTPO-published Redbook and the Official Gazette. This number can be for an originally-issued patent or a re-issued patent. It will not be for a Re-exam Certificate, a Correction Certificate, a SIR, or a notice of a request for a Re-exam or a Reissue. This number is equivalent to WIPO ST.9 as INID 11. 5012717.",String
  applicationStatusCode,This data element classifies the application by its status relative to the total application process.,String
  businessEntityStatusCategory,Status of business The large-or-small-entity payment status of the APPLICATION PATENT CASE at the time of the small entity status event and thereafter until the occurrence of a later small entity status event for the APPLICATION PATENT CASE. entity being established for the purpose of paying a fee such as a filing fee and a maintenance fee,String
  earliestPublicationNumber,Earliest publication number.,String
  earliestPublicationDate,Earliest publication date.,Date
  pctPublicationNumber,PCT publication number,String
  pctPublicationDate,PCT publication date,String
publicationSequenceNumberBag,"Contains a number assigned to the publication of patent applications filed on or after November 29, 2000. It includes the year, followed by a seven digit number, followed by a kind code. Example: 200011234567A1.",N/A
correspondenceAddressBag,"All address lines associated with applicant or inventor correspondence, depending on which bag it falls in.",N/A
  nameLineOneText,First line of name associated with correspondence address.,String
  nameLineTwoText,"Second line of name associated with correspondence address, if applicable.",String
  addressLineOneText,First line of address associated with correspondence address.,String
  addressLineTwoText,"Second line of address associated with correspondence address, if applicable.",String
  geographicRegionName,"Geographic Region Name, e.g., state.",String
  geographicRegionCode,Geographic region code.,String
  postalCode,Postal Code.,String
  cityName,City Name.,String
  countryCode,Country code.,String
  countryName,Country name.,String
  postalAddressCategory,Postal address category.,String
customerNumber,A unique number created by the USPTO and is used in lieu of a physical address.,Number
cpcClassificationBag,All the CPCs associated to application.,N/A
applicantBag,All applicants associated to application.,N/A
  applicantNameText,Applicant name,String
  firstName,First Name.,String
  middleName,Middle name.,String
  lastName,Last Name.,String
  preferredName,Preferred name.,String
  namePrefix,Name prefix.,String
  nameSuffix,Name suffix.,String
  countryCode,Country code.,String
correspondenceAddressBag,"All address lines associated with applicant or inventor correspondence, depending on which bag it falls in.",N/A
